ECOLE DU SHAPE SECTION BELGE;Secondaire ordinaire;Avenue de Paris;705;7010
COLLEGE SAINT-VINCENT (D2-D3);Secondaire ordinaire;Chaussée de Braine;22;7060
COLLEGE SAINT-VINCENT DOA;Secondaire ordinaire;Chaussée de Braine;22;7060
LYCEE PROVINCIAL DES SCIENCES ET DES TECHNOLOGIES;Secondaire ordinaire;Rue de la Station;59;7060
INSTITUT TECHNIQUE SAINT-VINCENT;Secondaire ordinaire;Chaussée de Braine;22;7060
ATHENEE ROYAL BEAUMONT;Secondaire ordinaire;Rue Germain Michiels;3;6500
INSTITUT PARIDAENS;Secondaire ordinaire;Grand Place;12;6500
ATHENEE ROYAL DE BINCHE;Secondaire ordinaire;Place des Droits de l'Homme;16;7130
COLLEGE NOTRE-DAME DE BON SECOURS;Secondaire ordinaire;Rue de Merbes;25;7130
INSTITUT PROVINCIAL D'ENSEIGNEMENT CHARLES DELIEGE;Secondaire ordinaire;Rue des Archers;12;7130
ATHENEE ROYAL DE CHIMAY;Secondaire ordinaire;Rue de Noailles;3;6460
COLLEGE SAINT-JOSEPH;Secondaire ordinaire;Rue de Virelles;75;6460
INSTITUT NOTRE-DAME;Secondaire ordinaire;Rue de Virelles;75;6460
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE;Secondaire ordinaire;Rue Albert Ier;21;6560
ECOLE D'ARTS ET METIERS;Secondaire ordinaire;Rue Sainte-Thérèse;47;6560
ATHENEE ROYAL THUIN;Secondaire ordinaire;Drève des Alliés;11;6530
INSTITUT NOTRE-DAME;Secondaire ordinaire;Grand'Rue;68;6530
SEMINAIRE DE BONNE-ESPERANCE;Secondaire ordinaire;Rue Grégoire Jurion;22;7120
ATHENEE PROV. MIXTE WAROCQUE;Secondaire ordinaire;Rue de l'Enseignement;8-oct;7140
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE;Secondaire ordinaire;Rue Raoul Warocqué;46;7140
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE DAVID LACHMAN;Secondaire ordinaire;Rue Pauline Hubert;40;6470
ATHENEE ROYAL PERUWELZ;Secondaire ordinaire;Rue des Français;31;7600
INSTITUT SAINT-CHARLES;Secondaire ordinaire;Rue Pont à la Faulx;66;7600
COLLEGE NOTRE-DAME DE LA TOMBE;Secondaire ordinaire;Rue Abbé Dropsy;2;7540
INSTITUT DE LA SAINTE-UNION;Secondaire ordinaire;Rue Montgomery;71;7540
